,Tweet_punct,Emotions
15,"pmoindia my grievance is directly related to covidindia i kindly request you to swiftly act on the same mohfwindia
earlier fssaiindia washed of its hand telling contact food safety commisioner of fssai in ap office never responds for any sort of communication httpstcownxgeueutg",0
16,"maharashtra govt extends lockdown till july  nonessential longdistance travel barred
lockdownextension
maharashtralockdown
mumbaitraffic mumbai mumbaifightscovid coronavirus covidindia maharashtrafightscorona",0
17,"national  covid india recovery rate improves to  
india indianews covidindia indiafightscorona covid 
httpstcoxlywobse",0
18,"lockdownextension
whenever people talk about lockdown extension 
government be like 
shuru majburi m kiya tha ab maja aa rha hai alifazal 😅
covidindia coronavirus corona httpstcopruscbuza",0
19,"sir please postpone neet n jee exams because sir we are future of india so you must think about us postponeneetandjee 
postponejee healthoverexams hrdministry covidindia lifeoverexam neet neetug 🙏🏻🙏🏻🙏🏻",0
20," successful ongoing project feed the hungry a big thankyou to all supporters amp volunteers and a big big thankyou to hydcitypolice who supported amp appreciated our work

psf  feedthehungry covidindia covidー covidindia reliefwork …… httpstcojwespsgeoe",1
21,"keep habit  live with corona
lockdownextension covidindia coronavirusindia habit covid httpstcozmkmupuow",1
22,"fifty lakh coronavirus protective suits  ppe personal protection equipment medical coveralls  can be exported every month union minister piyushgoyal
indiafightscorona makeinindia coronavirus covidvic covidindia coronavirusindia httpstcoryozye",0
23,"dc will issue necessary orders accordingly conrad sangma
sangmaconrad tathagata himantabiswa cmofficeassam sarbanandsonwal meghalayapolice proshillong pmoindia hmoindia covidindia assam assampolice 
httpstcovfknilrk",0
24," june 
projection of covidindia

using confirmed cases up to yesterday
▪️horizontal axis is the sequential day number starting with day  on st jan
▪️solid line is forecast
▪️○ are cases
▪️⭕️ are cases used to predict
 
not always hit the mark fyi
covidindia httpstcodvszsfez",1
25,"httpstcoyrekocekj
our new  video is out on our channel crazy beings please like subscribe and watch our channel and share among your friends and family

lockdown covidindia  assam",1
26,"check out wotrindias latest photo essay on agriculture activities undertaken as preparation for the kharif season httpstcooewgtbnzn
kharif climateresilientagiculture fornature buildbackbetter covidindia agrigoi mordgoi hulnews unccdlibrary ibrahimthiaw httpstcorzzhmwxe",0
27,prabhuchawla narendramodi drharshvardhan there is something called as “total reported cases” “active cases” “recovered cases” and “deaths” prabhuchawla covid covidindia indiafightscorona,0
28,"welcoming our esteemed speakers of the webinar

joinus tomorrow at am ist 

webinar link httpstcoamwarftn

webinar id   
password 

joinus  freewebinar health csos ngos covidindia httpstcouwipitvf",0
29,drrpnishank sir plz clarify the neet and jee aspirants that the date of examination will postpone or not postponeneetjee healthoverjeeneet healthoverneet covidindia,0
30,can we sue him for  crs pypayurved this people claimed cure for covidindia  promoted by bjpindia and narendramodi  who httpstcodgsyeqtxy,0
31,"visit gaurcitymall for sanitized and safe shopping experience

globalrepublic dominos mycitymymall covid covidindia lockdown unlock greaternoidawest gaurs gaursons gaursonsindia httpstconqocrzkdyk",0
32,"was scrolling through covidindia data and noticed that on  june the number of deaths recorded in a hourcycle was over   which is at least  times higher than the daily average a week before that date and since then

what exactly happened here httpstcohoicqfxcyp",0
33,"odisha covid daily report  june

odisha reported  new positive cases of covid and  recoveries today increasing the states tally to  cases including  recoveries and  deaths

follow timesdemocracy for fastest covid updates

covidindia covid httpstcoagyrkpqdz",0
34,if only i could raise an issue about indian working standards here these indian companies are the least professional and now are using covidindia excuse as a means to harass employees,0
35,"do you know
coronavirusindia
coronaupdates
covidindia
👉👉👉
half a million people have died due to covid  httpstcoshckymxl",0
36,"uttar pradesh corona daily report  june

uttarpradesh reported  new positive cases of covid today increasing the states tally to  cases including  recoveries and  deaths
 
follow timesdemocracy for fastest covid updates 

covidindia httpstcoptfqgpsl",0
37,"coronavirusoutbreak indias covid recovery rate improves to 

covidindia covid coronavirus coronavirusindia 

httpstcoybxuibxh",0
38,"order now  httpstcogredtccxuw 
disinfect az items at your workspace staysafe stayproductive
covid covidindia coronavirus muvs minionlabsuvsaaph httpstcoxgmqtvqdig",0
39,this is what your जागरूकराजस्थान ha covidindia ashokgehlot sachinpilot rajgovofficial rajcmo rajsampark diprrajasthan newsrajasthan stindianews dainikbhaskar jagrannews pirawa patrikaraj aajtak rahulgandhi rahulkanwal policerajasthan jaipurpolice,1
40,maharashtra government extends lockdown in the state till st july  covidindia lockdownextended chennai subash,0
41," successful ongoing project feed the hungry a big thankyou to all supporters amp volunteers and a big big thankyou to hydcitypolice who supported amp appreciated our work

psf  feedthehungry covidindia covidー covidindia reliefwork …… httpstcouyfmbs",1
42,"indias coronavirus recovery rate has reached  percent as the gap between recoveries and active cases stands at 
coronavirusinindia covidindia coronaviruscases
httpstcocatnwzpw",0
43,"a singleday spike of  coronavirus cases took indias tally to  today

covid covid covidindia
httpstcoaudhyxef",0
44,"recovery rate in india from covid increased upto  since may  to june  covidindia 
bjpbihar  bjpjehanabad mangalpandeybjp 
sanjayjaiswalmp manankrishna 
cpthakurbjp vijaykrsinhabjp 
radhamohanji sureshbjpjbad 
deveshkumarbjp shubhamrajbjp anmolsovit httpstcoublazerzk",0
45,"a map prepared by csirneeri mumbai showing covidー cases in maharashtra th june 

maharashtrafightscorona medicalmaharashtra medd coronaupdatesindia unlockingindia mumbaifightscovid stayhomestaysafesavelives covidindia  unlockindia beginagain sarscov httpstcocgvbnspgi",0
46,"liverdisease can become very dangerous over time conditions that damage the liver can lead to scarring cirrhosis which can lead to liver failure a lifethreatening condition

liverhealth mondaythoughts noalcohol  healthcare healthyliving   covid covidindia httpstcoethvctbr",0
47,"yoga is a tool to boost our immune system

🇮🇳guess the yoga pose quiz🇮🇳🧐
httpstcosmlcxpyr

pranayogashal weshareyoga yogalifestudios yoga yogaathome yogaduringlockdown stayhome staysafe stayfit covid covid immunity booster coronavirus covidindia httpstcovoqtoqvzf",1
48,"nmmc special containment zone  belapur sec  to sec  and vashi vashi gaon from  jun to  jul 
covidindia navimumbai vashi belapur 

navimumpolice nmmconline khargharbot navimumbaicity httpstcoyprywjh",0
49,"covidindia updates

🩺 patients cured  in last  hours
📈recovery rate 
🏥 active cases
🧪 samples tested

read httpstcoqsuhepocqi

cmohry punjabgovtindia ddnewslive airnewsalerts prasarbharati pbnsindia",0
50,"suvarnanewstv bjpkarnataka inckarnataka news channels got cut itself off from public mood amp defending the indefensible bjpindia bjpkarnataka pmoindia narendramodi 
bjpbetraysourjawans modisurrenderstochina inspite of covidindia restrictions dkshivakumar inckarnataka took risk to fight on behalf of people",0
51,dpradhanbjp narendramodi gdp is going up gdp gas diesel  petrol for india covidindia amazing progress if you have to take money put a separate covid tax but its insane to take money when crude is dropping while being hedged,0
52," successful ongoing project feed the hungry a big thankyou to all supporters amp volunteers and a big big thankyou to hydcitypolice who supported amp appreciated our work

psf  feedthehungry covidindia covidー covidindia reliefwork …… httpstcohmzddqouz",1
53,"covid covidindia covidtamilnadu coronavirus stayhomestaysafe 
spread the message stop the virus
🤲🤲🤲wash often🤲🤲🤲
😷😷😷cough into😷😷😷
🙏🙏🙏dont touch🙏🙏🙏
🛕🛕🛕avoid crowds🛕🛕🛕
🏡🏡🏡stay inside🏡🏡🏡",0
54,i believe the government has managed to educate the masses about covid what they need to focus on is the healthcare infrastructure lock downs can be ended slowly my views tnlockdown covidindia covidtamilnadu,0
55,the fact that we are in lockdown  and possibly need many more shows how indisciplined we are as a country more than questioning the government its time to question the discipline of the  people covidindia,0
56,"the total number of active cases   stay updated coronavirus stats in india with mapmyindia covid guide on mapmyindia move app indiafightscorona stayhome staysafe
coronavirusupdate covidoutbreak covid covidindia httpstcokbhlmvor",0
57,"delhi to set up plasma bank for treatment of coronavirus patients arvind kejriwal
 


delhi delhinews newdelhi newdelhinews nationalnews covidindia covidupdates coronaupdatesindia coronavirusinindia indiafightcorona arvindkejriwal manishsisodia savedelhi ncr httpstcopehtppe",0
58,"atdarknova please read bbc  article the world knows that india has lost its fight against covidindia as well as chinaindiaborder clash petroldieselpricehike ⛽️ 
or bankfraud or indianeconomy 
coronavirusoutbreak or 🚊 shramikspecialtrains bjp has failed totally httpstcojtryuhrc",0
59,imtiazjaleel cmomaharashtra authackeray anildeshmukhncp rajeshtope this is the saddest reality of pvt hospitals shame covidindia httpstcoieuyzrfds,0
60,"tanyagoell sarvarta tajinderbagga srinivasiyc guys you need help 
health sector alone cant win this
public participation is more important
donate plasma

covidindia",0
61,"why cant karnataka govt copy the model implemented by central govt at delhi  

covidindia covidkarnataka 
cmofkarnataka dhfwka mohfwindia",0
62,"doctors  doctors 
govt is taking certain requiry actions but i dono whats wrong is happening with these doctors atleast you would hve put that man on ventilator  he would have died peacefully but u made him die because of u just because of ur negligence he died covidindia httpstcoxsicfvhyle",0
63,"yrs backwarkaries wid 
agenda of marathareservation allegedly  thretened the  then cm fadanavis not to perform state pooja of lord vithoba n rukhmini on eve of aashadhi ekadishi this year covidindia prohibited themcoicidence or mauli unhappy with them pandharpur",0
64,wear mask and save yourself and others covidindia httpstcofuosauk,0
65,"bhubaneswar reports  covid positive cases  local contact

odishafightscorona odishacares covid covidindia coronavirusupdates 

httpstcodddjczcthh",0
66,"himachal pradesh reports  new covid cases state tally rises to  himachalpradesh covidindia covid coronavirusindia coronavirusupdate 
httpstcozgplqpj",0
67,in connection  with covidindia lockdown cost free  kg rice given to apl card holders in manavelly constituency puduicherry rahulgandhi mukulwasnik sanjaysdutt incpuducherry cmpuducherry vevaithilingam httpstcodzrtqqmw,0
68,"the drug will now be used for critical covid patients undergoing treatment at covid hospitals in the state” said the additional chief secretary hfwodisha

covidindia odishafightscorona mycitylinks odisha odia bhubaneswar 
httpstcotfvjf",0
69,guys dont trust the zomato safety measure they collecting money from vendors and cheating in the name max safe and no refund if you are unhappy zomato zomatoin zomatocheatingcustomers covidindia httpstcocktuvjco,0
70,i thought i was only one last two years trying to reduced my electric bill changed  all appl to  rating still from  to  seems its adaniviruslike covidindia we have to live with it celebrities to got infected renukash taapsee adanielecmum gautamadani httpstcozkftesrci,0
71,indian chemicals industry is one of the key elements of the economy amp has the potential to become th largest chemicals consuming country despite covidindia pandemic cimgoi piyushgoyal  dvsadanandgowda,0
72,flyingbeast captriturathee  sirmaam look what indigo is doing dumping  covidindia used safety kits on the roadside which is highly infectious to cattle owners and animals as well httpstcooivjjxdyp httpstcojorycgvwmp,0
73,"deaths are much higher maharashtra didnt report deaths outside hospital delhi  falsely reporting of deaths with comorbidity uttar pradesh not publishing data also under reporting in maharashtra n delhi which be added as backlog in a week
 covidindia coronaupdatesinindia",0
74,"get set for a refresh offers raining at adidas gaurcitymall

mycitymymall covid covidindia lockdown unlock greaternoidawest gaurs gaursons gaursonsindia httpstcoidrigtss",0
75,"indias covid recovery rate has improved to  total  patients cured so far says health ministry
covidindia recoveryrate covid coronavirus coronaviruspandemic
httpstcotxuuqysjun",0
76,the mad king and the crowned prince are going to drown telangana they advocate for gandhi hospital while their own minister goes to pvt hospital telanganacovidtruth gandhihospital covidindia,0
77,"first day of office after lockdown
feels good to be out 😌😸
covidindia 
afterlockdown httpstconcjxyik",1
78,"telanganacmo   homeminister has got positive 
then in which hospital he has admitted sir🤔 why he admitted in corporate hospital
why not gandhihospital 
 telanganacovidfailure 
covid  covidindia httpstcouupemptvnp",0
79,"some important updates on covidindia 

👉recovery rate improves to 

👉 patients cured  in last  hours

👉 samples tested

indiafightscorona
pandajay",1
80,"momentum in online amp appbased sales for large retailers to stay  for retailers as consumers are still preferring home delivery  onlinesale ecommerce omnichannel  walmartindia bigbazaar metroindia lotswholesale covidindia indiafightscorona 

httpstcoslfajkrim",0
81,"so proud of the husband dr fuadhalim for his selfless work in times of covidindia

providing dialysis for rs  is no mean feat

read up how dr halim and team kolkataswasthasankalp achieved their goal

thank you theprintindia

httpstcopqhhxayvqy",1
82,suvarnanewstv bjpkarnataka inckarnataka this is the exploitation of helpless citizens by both bjpindia at the centre and bjpkarnataka at the state on the assumption of covidindia restrictions inckarnataka dkshivakumar incindia had to take risk on behalf of the consumers while union government is insensitive,0
83,"ghaziabad sos covidindia 
need abve blood plasma from covidrecovery patient
illness corona
at yashoda hospital 
contact 
via
prateek
bloodpointorg bloodmatters",0
84,"coronavirus by the numbers how india stacks up against other worsthit countries in terms of total cases mortality rate recovery rate and other key indicators 

covid coronavirusoutbreak coronaviruspandemic covidindia newsgraphics httpstconcprlepyp",0
85,thread on how apping the covidindia virus leads to further chaos httpstcoeqhqqrttyq,0
86,"dahisar cheknaka
what a surprise in lockdown 
covidindia httpstcopbxlrbehb",1
87,"telanganamaata sagarbjp common citizens has to stand in long q outside private diagnostic centres for a paid test of covid ministers in telangana get admitted to private corporate hospitals for treatment bangarutelangana 
covidindia

httpstcoasimrnvjcs",0
88,dkshivakumar very apt and correct decision bjpindia amp bjpkarnataka is exploiting the helplessness of the general public since they couldnt take to agitation due to covidindia inckarnataka has taken a big risk on behalf of the helpless citizens inspite of criticism from media,0
89,"covidindia updates

🩺 patients cured  in last  hours
📈recovery rate 
🏥 active cases
🧪 samples tested

read httpstcolhcovsaykb",0
90,"start ups to be the ‘new normal’ in india httpstcoeqkzwikypk 

startups newnormal covidindia",1
91,no lockdown ahhhbe careful guys they had planned something 🙏 covidindia,1
92,"why did they then do since march  its july covidindia is spreading like tsunami  
bjpfailsindia kejriwalexposed 
arvindkejriwal atishiaap httpstcoxyzcgmb",0
93,"thanks guys for the super speedy delivery dailyobjects 
covidindia covid sanitizer httpstcoyncabjwb",1
94,"godrejappliancegodrej sales reach near precovid level  in the last week of june expect full capacity utilisation by the end of september ceamaindia covidindia indiafightscoronavirus appliances aircondition

httpstcogpldjt",0
95,"mission vande bharat th phase from rd   th july  👇 please follow the mentioned information 
indiaassist 
covidindia httpstcookuoffkto",0
96,"how is coronavirus shaping the healthcare industry a factpacked article indeed 
👉httpstcopfipuonfo👈 
via uniindianews  pandemic covid covidindia httpstcopvmgqyzwvl",0
97,dont postpone neet jeemains further please do it in the scheduled date by social distancingit has been too late the impact of covidindia is not going to stop soon delaying further is not a solution and  year will be missed drrpnishank dgnta pmoindia,0
98,"covidindia updates

🩺 patients cured  in last  hours
📈recovery rate 
🏥 active cases
🧪 samples tested

read httpstcogqvgwlgrs",0
99,covidindia  remember amp follow these covid appropriate behaviour please retweeet this amp help us to help youtogetherwecan indiafightscorona badalkarapnavyavaharkareincoronaparvaar swasthabharat dgpnagaland airnewskohima pibkohima ddnewskohima credits  mohfwindia httpstcocvtmlnps,0
100,"importantupdate for flights from india to usa and india to canada 
ticket bookings start from  hours on th june 
indiaassist 
covidindia httpstcocuzqwymwae",0
101,"i have done my part in donating specialprotection masks to the mumbai police
its our responsibility to help those who are risking their familys lives for us 
sharing this only to inspire donations

donate here httpstcoarasnaeze

timetostepup covidindia coronavirus httpstcoogyzzeb",1
102,andhra pradesh reports  new cases and  deaths in the last  hours total number of cases rise to  including  active cases  discharged cases and  deaths state covid nodal officer covidindia covid andhrapradesh httpstcozkjfskkh,0
103,"booking for flights to  canada to start at  pm today 
indiaassist 
covidindia httpstcoeczdfmgqgp",0
104,"covidindia 

andhrapradesh

new cases  
active cases  
total cases  

wearamask stayhome httpstcovsjomt",0
105,"strict checking underway in guwahati as covid  lockdown enters day  
india  covidindia  lockdown  assam assamcovidcount   guwahati guwahatilockdown  lockdownextension 
 httpstcocjcnebvd via youtube",0
106," successful ongoing project feed the hungry a big thankyou to all supporters amp volunteers and a big big thankyou to hydcitypolice who supported amp appreciated our work

psf  feedthehungry covidindia covidー covidindia reliefwork …… httpstcognnidznrz",1
107,"andhra pradesh covid detailed report  june

andhrapradesh reported  local cases  cases from other states amp  foreign cases in the last  hours while  patients recovered in the same period total cases in ap stands at 

covidindia covid httpstcofvionqwms",0
108,norbertelekes sri  covid india week  statistics and projections bad week for india cases increased more than expected average prediction accuracy   covid covidindia covidupdates coronavirusupdates coronavirusindia httpstcofxgyemyod,0
109,"covidindia state of the statestesting positivity

ideal raise testing to a level that positivity peaks and then declines to below  
realistic for states with high population density   and below

ap as lt 
br gt 
ch  
 httpstcogpywlshjr",1
110,bsesdelhi loot at its best covidindia   inflated bills with late payment surcharge even during covid delhi government is bankcorrupt and so are it’s stakeholder companies arvindkejriwal,0
111,"india crosses l cases in a week manipur extends lockdown till july 

httpstcoxqrnlnxi

coronavirusoutbreak covid manipur lockdown covidkarnataka covidindia httpstcoyhmfotuwf",0
112,"power of social distancing
covidindia socialdistancing httpstcoklvllrsjb",0
113,india started off with a scare about whether the country has enough ventilators four months into covidindia pandemic its the oxygen beds that are saving lives httpstcodeylrkelb,1
114,"homaxe tweet

 builders are now looking to waive the common area maintenance cam charge 

maintenancefee rentfree pandemic covidimpact covidindia chennai kolkata delhincr mumbai homebuyers propertyinvestment realestate indianrealestate 

httpstcodwrapmms",0
115,"andhra pradesh covid daily report  june

andhrapradesh reported  new cases of covid in the last  hours while  patients recovered in the same period total cases in ap stands at  incl other cases

 covidindia covidindia httpstcoprbqmehv",0
116,"ministers tested positive with mild symptoms are straight away admitted to  star hospital

public tested positive should stay at home unless you have breathing difficulty

tera khoon khoon aur mera khoon paani 

covidindia covid covid patanjali india kolkata",0
117,"if possible please keep open atm doors always
 its reduce less human contacts atm doors are heavy everyone is holding and pushing very hard chances of corna virus spreading

coronavirus covidindia covid icicibank hdfcbank rbi icicibankcare hdfclifecares covid",0
118,"homaxe tweet

 builders are now looking to waive the common area maintenance cam charge 

maintenancefee rentfree pandemic covidimpact covidindia chennai kolkata delhincr mumbai homebuyers propertyinvestment realestate indianrealestate 

httpstcookcgvuga",0
119,"this is the sad state in which patients in rajasthan govt covid hospitals are left with the unhygienic conditions are enough to get a healthy peep sick forget about getting a treatment 
covidindia sachinpilot ashokgehlot pmoindia vasundharabjp aajtak ndtv httpstcomubgbcwtww",0
120,"the maharashtra government is set to launch project platina a plasma therapy trial on covid patients

maharashtra covidindia patanjali babaramdev coronil plasma gujarat आयुर्वेदविजयकोरोनिलश्वासारि",0
121,"ashwinimstnie xpressbengaluru siddaramaiah newindianxpress santwana 😷wow  we the people practice cycling to near by on daily basis 
 our    health 
            wealth
            weather 
            worthy living
can be easily achieving with covid in flat 
aicc bjp covidindia dhfwka speakuponpetroleumprices
speakupagainstfeulhike",0
122,"dont let food stay too long
httpstcokzkscgspl 
emeralddental dentalhealth 
safetyfirstalways covidindia
doctors medical smile perodontics orthodontics dentalanatomy family pedodontics prosthodontic oralpathology oralmedicine sensitive dentalradiology httpstcovrdakkdpb",1
123,"builders are now looking to waive the common area maintenance cam charge 

maintenancefee rentfree pandemic covidimpact covidindia chennai kolkata delhincr mumbai homebuyers propertyinvestment realestate indianrealestate 

httpstcookcgvuga",0
124,"beijing china has done  million tests for a city of population  million thats about  of the population we india have done around  million as a country 

we can hate china all we want but they are doing what is needed 

covidindia indiafightscorona",0
125,"httpstcoeymjl telanganacmo ktrtrs  

whats is happening in the city sir these incidents shaken our faith in the system please do something hyderabad wakeuptelanganagovt covidindia",0
126,nifty banknifty sensex niftyfuture bankniftyfuture coronavirus coronavirusinindia covidindia show some ve news on tv guys  recovery rate is very gd fed up of everyday news with rising numbers fear nt watching news as its only corona news x httpstcoganuevziyx,0
127,"morning tea with avinash rajvansh
compagno news
boycott chinese products
fight against corona pledge
boycottchina
boycottmadeinchina
coronavirus
covid
covidindia
coronaviruslockdown
masked
coronafear

httpstcofwcnozjyqw",0
128,and m also so lucky that m a citizen of assam our local leadership also doing well i want to salute our local mp drrajdeeproy local mla for their efforts less fight against covidindia assamcovidcount,1
129,"half million deaths due to chinese virus

surprisingly the originator country looks clean and rest of the world is painted with red spots

कुछ तो गड़बड़ है
covid 
indiafightscorona 
covidindia
chinesevirus httpstcosdlswspun",0
130,"how to boost immune system quickly  tips from expert dietitian hetal me httpstcojakcfyb via youtube 
immunity covid covidindia coronavirus coronaupdates foodie telanagana delhi",1
131,"abhishe drharshvardhan who medscapeindia meetbros sunitadube corona update in india

confirmed 
active 
recovered 
deaths 
updated  

coronavirusupdates 
covidindia",0
132,this world needs people who worry look beyond my dark circle when you look at me covidindia,0
133,httpstcoowdshaufnk click on the link for full blog post 🏏onthisday sachintendulkar cricket bcci alllivesmater justiceforjayarajandbennicks ipl covidindia indochinafaceoff httpstcomnaipptrym,0
134,"dabbawalas from mumbai turn labourers in their hometowns to make ends meet amid covid crisis

covid coronavirus coronaa
covidindia

httpstcowmlpqmcja",0
135,"congratulations amp my best wishes to lipsa parida for being appointed as the help desk volunteer in dhh kendrapara she has set an example for the trans community
covidindia 
odishafightscoronavirus httpstcomwlccthh",1
136,"📷 photooftheday gods go small this season httpstcodttgvcc

covidindia coronaviruspandemic httpstcotnrkmtdqr",1
137,hrdministry give any information about nios sir nios take any online test or viva test but give any information about nios sir cbse all students promote this in a good decision but nios doing nothing sir please dont spoil are year🙏🙏🙏nios hrdministry covidindia,1
138,roadsofmumbai mumbaipolice nnatutoi mumbaimatterz srinikay rjkaran this is just just so lame 😒 and in troubled times the common man is paying the price heavily for the sins committed by some one else  covidindia  lockdown petrolhike unending trafficjam layoff nowthis,0
139," weeks since malls and restaurants reopened the footfalls have been way below expectations
covidindia economy restaurants shoppingmalls liquor
kingkatriar nraiindia 

malls restaurants struggle as customers remain wary httpstcoioqttxeix via toibusiness",0
140,"delhi government to start plasma bank for treatment of covid patients arvindkejriwal 

delhifightscorona covid covidindia

httpstcoofaqtskmkv",0
141,then definitely its going to happen lockdownextension tamilnadu covidindia httpstcodhbnkqkoma,0
142,several municipal services were brought online by the previous ncbn govt in ap all of them are brought down now amp we are forced to pay them manually in municipalities which are like covidindia hotspots restore the it governance in ap ysjagan jaitdp ysrcparty klnbjp,0
143,"oneillyatescbc zoobear please dont listen to our pms speech he rarely speaks truth 
covidindia 
so dont take it seriously",0
144,indian companiesuniversities factories to their employees  when salary of past  months will be credited covidindia httpstcojomcxhf,0
145,"what do you think about this pic true or not 🤔
covidindia coronavirus seeyousoon besafestayhealthy httpstcovrdmbqxrrg",1
146,"in india we are flattening the curve its just that the slope is ° 🤷
covidiots covidindia",0
147,here we go covid covidindia chinesevirus wuhancoronavirus httpstcovactzmee,0
148,"mumbaipolice  just want to know why  people are not allowed on  wheelers why should we go out in different vehicles especially when we are staying at home together  

can anyone explain the logic behind this covidindia covidpandemic",0
149,"nutrition advice for adults in covid outbreak to minimize chance of infection
covidindia
covidsouthafrica
covid
coviduk
coronavirus
covidusa
httpstcomvrkdj",0
150,"suddenly focus shifted from all wa groups from george floyd china petrol prices to 
pakkada road sealdown anthe

covidindia",0
151,"mainsatarkhoon follow three thing  social distancing wear mask  wash hand 
covidindia
staysafestayhealthy httpstcoxyuwhcjjjs",0
152,"heart workertkng care of daily needs peoples in need amp corona warriors in baghpat up request  help our grp so we can help as many people help nw
donate at ac 
ifsc barbbaghpa bank of baroda come lit this initiative
covidindia coronavirus india",0
153,ktrtrs daddy naaku oxygen pedthaleru daddy these were the last words of ravikumar a printing press employee are we the people of telangana foreseeing the future justasking covidindia,0
154,"i feel sorry that the jampk government has failed us 
i get scared seeing how unprepared we are to tackle this situation this is the bus that took me and my mom to the quarantine center in katra jammu today 
horrific sight 
jammukashmir covidindia httpstcoviysxflyml",0
155,"indian seafarers wishing to return from uae can book tickets online please refer to below message issued by indembabudhabi and cgidubai 

thanks airindiain 

seafarers repatriation covidindia httpstcojnkjnvth",0
156,"we hope that learning will help students to stay focused during this testing time at personal level we are ensuring that we emeet with our students couple of times in a week as the advisors our responsibility is to be with them
iit iitjodhpur covidindia education httpstcoxbpzufpu",0
157,"telangana home minister tests covid positive 😲

telangana coronavirus covidindia trs pacckup httpstcomfijsohq",1
158,"speakuponpetroleumprices 
speakupagainstfuelhike 
which country this government working for  why you want more and more tax when my india is in a complete crisis covidindia httpstcomujzgdltoq",0
159,fellow indians let us not give up on mother india because some did we have many challenges to face and our top most challenge is covid remember the first sunday lockdown that is what we should do to contain this stay home stay safe covidindia,1
160,"here is the zonewise covid positive cases in chennai

read more httpstcomhwfrblr

covidー covidpandemic coronavirusoutbreak coronavirus stayhomestaysafe
indiafightscornona covidindia stayawarestaysafe  lockdown lockdownextended chennai 
chennaicorp httpstcoxcpzakl",1
161,delhi govt will leave no stone unturned in battle against covidindia any state could encounter tough times in this pandemic increasing no of cases in delhi indicate tracing of maximum positive patients which is imperative in order to control the situation  arvindkejriwal httpstcoknbdbnhott,0
162," successful ongoing project feed the hungry a big thankyou to all supporters amp volunteers and a big big thankyou to hydcitypolice who supported amp appreciated our work

psf  feedthehungry covidindia covidー covidindia reliefwork …… httpstcozcvznearn",1
163,"covid drug remdesivir now available in odisha

covidupdates clinicaltrials covid covidindia indiafightscorona odishafightscorona odishacares 

httpstcomqpveamlqq",0
164,"ca exams be flexible you cannot be rigid supreme court tells icai to consider allowing students to opt out even during exam cycle read full story caexams icai theicai supremecourt covidindia 

httpstcorebpqg",0
165,mumbai police to impound vehicles plying beyond km from home except for work mumbai maharashtra covidindia covid coronavirus coronaviruspandemic covid pandemic covid covid covidー httpstconsxwtsf,0
166,neev in association with progressus services pvt ltd has distributedmask made by iit delhi startup etex to the policeman traffic police corona warriors in gurgaon on sunday th june  from  am venue  canal colony gurgaon covidindia  gurgaongreen gurugram httpstcokdxvhtiylm,0
167,"discriminatory nature of corona

coronaupdatesinindia india covidindia economie monday businessintelligence businessclass businesscontinuity httpstcovgdpxzwk",1
168,"engineers 🔝

engineering engineer
covidindia covid httpstcoevcstkih",0
169,"citywise covid positive cases around india

read more httpstcomhwfrblr

covidー coronaviruspandemic coronavirusoutbreak coronavirus stayhomestaysafe
indiafightscornona covidindia stayawarestaysafe wfh lockdownextension httpstcoxntsqs",1
